Title,Location,Description,Price/night,Interior,Amenities,Ratings,Reviews,Features,Normalized Price/night,Normalized Reviews,Guests,Room type,Owner,Avg Feature Rating,Has Washer,Has Dryer
Entire rental unit hosted by Syed,"Hyderabad, Telangana, India",2BHK Fully Furnished & Well Maintaind Flat on Rent,1450,"4 guests, 2 bedrooms, 3 beds, 2 bathrooms","Lake view, Mountain view, Kitchen, Wifi, Dedicated workspace and 28 more",4.87,30,"Cleanliness 4.9, Accuracy 4.8, Communication 4.9, Location 4.5, Check-in 4.9, Value 4.8",0.00145,0.03,4,Entire,Syed,4.8,False,False
Entire apartment hosted by Harsha,"Secunderabad, Telangana, India","AVN301 - Lovely 1 Bedroom, AC, Wifi, Kitchen set",1499,"4 guests, 1 bedroom, 2 beds, 1.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 38 more",4.89,9,"Cleanliness 4.8, Accuracy 4.9, Communication 5.0, Location 4.3, Check-in 5.0, Value 4.8",0.001499,0.009,4,Entire,Harsha,4.8,False,False
Private room in bungalow hosted by Salim,"Hyderabad, Telangana, India",Sylvan room with garden Jubilee Hills,3295,"2 guests, 1 bedroom, 2 beds, 1.5 bathrooms","Garden view, Kitchen, Wifi, Dedicated workspace, Free on-street parking and 32 more",4.9,48,"Cleanliness 4.7, Accuracy 4.8, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.8",0.003295,0.048,2,Private,Salim,4.83,False,False
Entire apartment hosted by Harsha,"Hyderabad, Telangana, India","AVN302 - Lovely 1 Bedroom, AC, Wifi, Kitchen set",1499,"4 guests, 1 bedroom, 2 beds, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 36 more",5.0,10,"Cleanliness 4.9, Accuracy 5.0, Communication 5.0, Location 4.8, Check-in 5.0, Value 4.8",0.001499,0.01,4,Entire,Harsha,4.92,False,False
Entire apartment hosted by Maseeh,"Hyderabad, Telangana, India",ZEN HAUS - Modern 2BHK Apartment,4390,"5 guests, 2 bedrooms, 1 queen bed, 2 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, 43"" HDTV with Netflix, Lift, Free washer  In unit, Security cameras on property and 40 more",4.88,24,"Cleanliness 5.0, Accuracy 4.8, Communication 5.0, Location 4.6, Check-in 4.9, Value 4.8",0.00439,0.024,5,Entire,Maseeh,4.85,True,False
Entire villa hosted by Rama Krishna,"Hyderabad, Telangana, India",Luxurious Villa at Hyderabad-Close by RGIA Airport,7889,"8 guests, 2 bedrooms, 2 beds, 3 bathrooms","Garden view, Kitchen, Wifi, Dedicated workspace, Free parking on premises, Private hot tub, Pets allowed, Security cameras on property and 64 more",5.0,24,"Cleanliness 4.9, Accuracy 5.0, Communication 4.9, Location 5.0, Check-in 5.0, Value 5.0",0.007889,0.024,8,Entire,Rama Krishna,4.97,False,False
Room in hotel hosted by Sreekar,"Hyderabad, Telangana, India",Spacious private rooms ! !,1140,"2 guests, 1 bedroom, 2 beds, 1 private bathroom","Kitchen, Wifi, Free parking on premises, Pets allowed, TV and 9 more",4.7,2,"Cleanliness 4.7, Accuracy 4.7, Communication 4.8, Location 4.6, Check-in 4.8, Value 4.6",0.00114,0.002,2,Single Room,Sreekar,4.7,False,False
Farm stay hosted by Swathi,"Hyderabad, Telangana, India",Hyderabad Flora farm stay,5000,"6 guests, 2 bedrooms, 2 beds, 2 bathrooms","Lake access, Courtyard view, Garden view, Kitchen, Wifi and 48 more",4.84,32,"Cleanliness 4.8, Accuracy 4.7, Communication 4.7, Location 4.6, Check-in 4.7, Value 4.6",0.005,0.032,6,Farm,Swathi,4.68,False,False
Entire serviced apartment hosted by BLUO Stays,"Hyderabad, Telangana, India","BluO 1BHK Gachibowli - Lift, Terrace Garden",5350,"3 guests, 1 bedroom, 1 king bed, 1 bathroom","City skyline view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 51 more",5.0,8,"Cleanliness 4.9, Accuracy 4.9, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.9",0.00535,0.008,3,Entire,BLUO Stays,4.9,False,False
Entire rental unit hosted by Abdul,"Hyderabad, Telangana, India",Valley House 2BHK Apartment at Attapur pillar #258,2450,"5 guests, 2 bedrooms, 2 beds, 3 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 20 more",5.0,6,"Cleanliness 5.0, Accuracy 4.8, Communication 5.0, Location 4.2, Check-in 5.0, Value 4.5",0.00245,0.006,5,Entire,Abdul,4.75,False,False
Entire rental unit hosted by Adarsh Reddy,"Conditions, Telangana, India",3 Bedroom luxurious apartment,6100,"6 guests, 3 bedrooms, 3 beds, 2.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, TV and 38 more",5.0,7,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.0061,0.007,6,Entire,Adarsh Reddy,5.0,False,False
Entire apartment hosted by Komal,"Hyderabad, Telangana, India",BedChambers Serviced Apartments - Jubilee Hills,3250,"2 guests, 1 bedroom, 1 bed, 1 bathroom","City skyline view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 42 more",4.33,18,"Cleanliness 4.4, Accuracy 4.1, Communication 4.6, Location 4.7, Check-in 4.6, Value 4.2",0.00325,0.018,2,Entire,Komal,4.43,False,False
Private room in bungalow hosted by Shashi Vadana,"Secunderabad, Telangana, India",Purple Couch,1400,"2 guests, 1 bedroom, 2 beds, 1.5 bathrooms","Garden view, Mountain view, Kitchen, Wifi, Free on-street parking and 22 more",4.54,13,"Cleanliness 4.9, Accuracy 4.8, Communication 4.8, Location 4.9, Check-in 4.9, Value 4.4",0.0014,0.013,2,Private,Shashi Vadana,4.78,False,False
Entire home hosted by Srinivas Reddy,"Hyderabad, Telangana, India","Spacious & Private 2BHK in groundfloor, Hyderabad",1700,"5 guests, 2 bedrooms, 2 single beds, 1 bathroom","Wifi, Dedicated workspace, Free parking on premises, TV, Luggage drop-off allowed and 16 more",4.65,117,"Cleanliness 4.6, Accuracy 4.7, Communication 4.8, Location 4.7, Check-in 4.8, Value 4.6",0.0017,0.117,5,Entire,Srinivas Reddy,4.7,False,False
Entire apartment hosted by Sunitha,"Hyderabad, Telangana, India",A Cosy 1 Bedroom Condo,1200,"2 guests, 1 bedroom, 2 beds, 1 bathroom","Kitchen, Wifi, Free on-street parking, HDTV with Disney+, Amazon Prime Video, Lift and 20 more",5.0,3,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.3, Check-in 5.0, Value 4.3",0.0012,0.003,2,Entire,Sunitha,4.77,False,False
Entire rental unit hosted by Investate,"Hyderabad, Telangana, India",Lovely Urban Nest in Tolichowki (No Pets),2610,"6 guests, 2 bedrooms, 2 single beds, 3 bathrooms","City skyline view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 21 more",5.0,6,"Cleanliness 4.8, Accuracy 5.0, Communication 5.0, Location 4.7, Check-in 5.0, Value 4.7",0.00261,0.006,6,Entire,Investate,4.87,False,False
Private room in rental unit hosted by Shivani,"Hyderabad, Telangana, India",Yarnville Room 8 with non-attached bath,999,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Wifi, Dedicated workspace, Free on-street parking, Washing machine, Shared patio or balcony and 24 more",4.7,1,"Cleanliness 4.7, Accuracy 4.7, Communication 4.8, Location 4.6, Check-in 4.8, Value 4.6",0.000999,0.001,2,Private,Shivani,4.7,False,False
Entire home hosted by Harsha,"Hyderabad, Telangana, India",Elegant - 3BHK AC Villa with Lawn BanjaraHills HYD,10799,"12 guests, 3 bedrooms, 1 king bed, 4.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 43 more",5.0,3,"Cleanliness 5.0, Accuracy 4.7, Communication 5.0, Location 4.7, Check-in 4.3, Value 5.0",0.010799,0.003,12,Entire,Harsha,4.78,False,False
Entire serviced apartment hosted by Skyla,"Hyderabad, Telangana, India","Studio with Kitchenette 1, Jubilee Hills, Road#44",5850,"2 guests, Studio, 1 bed, 1 bathroom","Kitchen, Wifi, Free parking on premises, TV, Lift and 15 more",4.82,11,"Cleanliness 5.0, Accuracy 4.8, Communication 5.0, Location 4.9, Check-in 4.9, Value 4.8",0.00585,0.011,2,Entire,Skyla,4.9,False,False
Farm stay hosted by Rohit,"Hyderabad, Telangana, India",The Quail (35km from Gachibowli ORR),10080,"10 guests, 2 bedrooms, 2 beds, 4 bathrooms","Garden view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 48 more",4.87,91,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.8, Check-in 4.9, Value 4.8",0.01008,0.091,10,Farm,Rohit,4.83,False,False
Entire serviced apartment hosted by Raghu,"Hyderabad, Telangana, India",Urban Nest - 2BHK Penthouse @ Kukatpally,3000,"4 guests, 2 bedrooms, 1 queen bed, 2 bathrooms","City skyline view, Kitchen, Wifi, Free parking on premises, Pets allowed, 32"" HDTV with cable/satellite TV, standard cable/satellite, Free washer  In building, Security cameras on property and 38 more",4.58,19,"Cleanliness 4.5, Accuracy 4.7, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.5",0.003,0.019,4,Entire,Raghu,4.73,True,False
Entire rental unit hosted by Vishnupriya,"Hyderabad, Telangana, India","Spacious & Sunlit Flat, City Centre",3498,"5 guests, 2 bedrooms, 3 beds, 1.5 bathrooms","Kitchen, Fast wifi  229 Mbps, Dedicated workspace, Free parking on premises  1 space, Pets allowed and 38 more",4.62,68,"Cleanliness 4.6, Accuracy 4.7, Communication 4.7, Location 4.7, Check-in 4.8, Value 4.6",0.003498,0.068,5,Entire,Vishnupriya,4.68,False,False
Entire serviced apartment hosted by Raghu,"Hyderabad, Telangana, India",Urban Nest-3BH @ Financial District (1st FLOOR),3340,"5 guests, 3 bedrooms, 1 queen bed, 3 bathrooms","City skyline view, Wifi, Dedicated workspace, Free parking on premises, Pets allowed, 32"" HDTV with cable/satellite TV, standard cable/satellite, Lift, Security cameras on property and 38 more",4.69,86,"Cleanliness 4.7, Accuracy 4.7, Communication 4.7, Location 4.4, Check-in 4.8, Value 4.6",0.00334,0.086,5,Entire,Raghu,4.65,False,False
Private room in apartment hosted by Balaram R,"Hyderabad, Telangana, India",Room in a 3BHK Apartment @ White Fern Stays,2500,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed, TV, AC  split-type ductless system, Shared patio or balcony, Security cameras on property and 20 more",4.83,12,"Cleanliness 4.8, Accuracy 4.8, Communication 4.8, Location 4.7, Check-in 4.8, Value 4.7",0.0025,0.012,2,Private,Balaram R,4.77,False,False
Entire holiday home hosted by Tanvir,"Secunderabad, Telangana, India",Comfort Bricks Pent House,2400,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi, TV, Washing machine, Air conditioning and 6 more",4.8,15,"Cleanliness 4.7, Accuracy 4.7, Communication 4.9, Location 4.8, Check-in 4.8, Value 4.7",0.0024,0.015,4,Entire,Tanvir,4.77,False,False
Entire serviced apartment hosted by Raghu,"Hyderabad, Telangana, India",Urban Nest-3BH @ Financial District (1st FLOOR),3340,"5 guests, 3 bedrooms, 1 queen bed, 3 bathrooms","City skyline view, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 38 more",4.69,86,"Cleanliness 4.7, Accuracy 4.7, Communication 4.7, Location 4.4, Check-in 4.8, Value 4.6",0.00334,0.086,5,Entire,Raghu,4.65,False,False
Entire villa hosted by Kavitha,"Gowdavalli, Telangana, India",Peaceful 2 bedroom villa with garden and free parking,4998,"6 guests, 2 bedrooms, 2 beds, 2.5 bathrooms","Kitchen, Wifi, Free parking on premises, Shared pool  available all year, TV and 25 more",5.0,3,"Cleanliness 4.7, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.004998,0.003,6,Entire,Kavitha,4.95,False,False
Entire apartment hosted by Tanvir,"Secunderabad, Telangana, India",Home away from home 2,2100,"5 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi, Free parking on premises, HDTV, Lift and 17 more",4.77,26,"Cleanliness 4.6, Accuracy 4.6, Communication 4.8, Location 4.5, Check-in 4.8, Value 4.7",0.0021,0.026,5,Entire,Tanvir,4.67,False,False
Entire apartment hosted by Haimanti,"Hyderabad, Telangana, India",Lovely 2 Bedroom condo at the heart of the City,3950,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Dedicated workspace, Free parking on premises, HDTV with Amazon Prime Video, Chromecast, Disney+, HBO Max, Netflix, standard cable/satellite, Free washer  In building, Central air conditioning, AC  split-type ductless system, Private patio or balcony, High chair and 17 more",4.42,12,"Cleanliness 3.9, Accuracy 4.6, Communication 4.8, Location 4.8, Check-in 4.8, Value 4.4",0.00395,0.012,4,Entire,Haimanti,4.55,True,False
Entire serviced apartment hosted by Zain,"Bandalgud jagir, Telangana, India",Lovely 2 BHK apartment with all amenities,1800,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 17 more",4.91,11,"Cleanliness 4.5, Accuracy 4.9, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.9",0.0018,0.011,4,Entire,Zain,4.8,False,False
Private room in rental unit hosted by Shivani,"Hyderabad, Telangana, India",Yarnville room 7 with attached bath,1099,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Wifi, Dedicated workspace, Free on-street parking, Paid washing machine, Patio or balcony and 26 more",4.7,2,"Cleanliness 4.7, Accuracy 4.7, Communication 4.8, Location 4.6, Check-in 4.8, Value 4.6",0.001099,0.002,2,Private,Shivani,4.7,False,False
Private room in bed and breakfast hosted by Nehru Babu,"Hyderabad, Telangana, India",IRIS AT NEST - Luxurious Double Twin Room,1853,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Wifi, Free parking on premises, TV with standard cable/satellite, Lift, Air conditioning and 27 more",4.6,5,"Cleanliness 4.2, Accuracy 4.6, Communication 5.0, Location 4.4, Check-in 4.8, Value 4.2",0.001853,0.005,2,Private,Nehru Babu,4.53,False,False
Private room in rental unit hosted by Pradeepshiva,"Conditions, Telangana, India",The Garden Square,1049,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Courtyard view, Fast wifi  57 Mbps, Free parking on premises, Pets allowed, 43"" HDTV with Amazon Prime Video, Chromecast, Disney+, Netflix and 17 more",5.0,2,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.001049,0.002,2,Private,Pradeepshiva,5.0,False,False
Private room in rental unit hosted by Shivani,"Hyderabad, Telangana, India",Yarnville Room 5 with attached bath,1299,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Wifi, Dedicated workspace, Free on-street parking, Paid washer  In building, Shared patio or balcony and 25 more",4.81,21,"Cleanliness 4.8, Accuracy 4.9, Communication 5.0, Location 4.7, Check-in 5.0, Value 4.7",0.001299,0.021,2,Private,Shivani,4.85,True,False
Private room in rental unit hosted by Pavan Kumar,"Hyderabad, Telangana, India",Swarna Nivas - As name suggested,789,"2 guests, 1 bedroom, 2 beds, 1.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, 32"" HDTV with Chromecast, Amazon Prime Video, standard cable/satellite, Disney+, Netflix and 33 more",4.7,35,"Cleanliness 4.7, Accuracy 4.7, Communication 4.8, Location 4.6, Check-in 4.8, Value 4.6",0.000789,0.035,2,Private,Pavan Kumar,4.7,False,False
Farm stay hosted by Padma,"Hyderabad, Telangana, India",Mango orchard Farm house 1BR & big hall for events,3700,"6 guests, 1 bedroom, 1 bed, 2 bathrooms","Garden view, Kitchen, Wifi, Free parking on premises, Pets allowed and 36 more",4.82,17,"Cleanliness 4.9, Accuracy 4.7, Communication 4.9, Location 4.8, Check-in 4.8, Value 4.5",0.0037,0.017,6,Farm,Padma,4.77,False,False
Entire apartment hosted by Maseeh,"Hyderabad, Telangana, India",CLASSIC HAUS - Brand New 3BHK Apartment,5390,"7 guests, 3 bedrooms, 1 king bed, 2.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, HDTV with Netflix, Lift, Free washer  In unit, Security cameras on property and 41 more",4.95,20,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.3, Check-in 5.0, Value 4.8",0.00539,0.02,7,Entire,Maseeh,4.85,True,False
Entire apartment hosted by Maseeh,"Hyderabad, Telangana, India",TWIN HAUS - Modern 2-Bedroom Apartment,4390,"5 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, 32"" HDTV with Netflix and 39 more",4.9,31,"Cleanliness 4.9, Accuracy 4.9, Communication 5.0, Location 4.6, Check-in 4.9, Value 4.8",0.00439,0.031,5,Entire,Maseeh,4.85,False,False
Entire rental unit hosted by Sree,"Dilsukhnagar, Hyderabad, India",Lovely private Penthouse for family or friends!,2900,"5 guests, 2 bedrooms, 1 king bed, 1 single bed, 1 sofa, 1 floor mattress, 1 toddler bed, 2.5 bathrooms","City skyline view, Kitchen, Wifi, Dedicated workspace, Free parking on premises and 42 more",4.87,15,"Cleanliness 4.3, Accuracy 4.8, Communication 4.9, Location 5.0, Check-in 4.9, Value 4.7",0.0029,0.015,5,Entire,Sree,4.77,False,False
Entire apartment hosted by Rk,"Secunderabad, Telangana, India",Spacious 2bhk in heart of the city !!,1800,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi  31 Mbps, Dedicated workspace, Free parking on premises, Pets allowed and 23 more",4.4,10,"Cleanliness 3.8, Accuracy 4.3, Communication 4.6, Location 4.6, Check-in 4.7, Value 4.3",0.0018,0.01,4,Entire,Rk,4.38,False,False
Entire apartment hosted by Roshnak,"Gandipet, Telangana, India",Luxurious Furnished 2 BHK in state of art complex,3999,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Valley view, Park view, Garden view, Mountain view, Kitchen and 54 more",5.0,4,"Cleanliness 4.8, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.003999,0.004,4,Entire,Roshnak,4.97,False,False
Entire townhouse hosted by Qamar,"Hyderabad, Telangana, India","4-BHK, Pent House, Banjara Hills, Stone Home",9999,"8 guests, 4 bedrooms, 4 beds, 4 bathrooms","Kitchen, Wifi, Free parking on premises  2 spaces, TV, Lift and 32 more",4.85,39,"Cleanliness 4.4, Accuracy 4.7, Communication 4.8, Location 4.8, Check-in 4.8, Value 4.7",0.009999,0.039,8,Entire,Qamar,4.7,False,False
Entire apartment hosted by Diwakar,"Shivarampaly Jagir, Telangana, India","Apartment in Attapur, Hyd (Pillar No 293)",1150,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Shared pool and 20 more",4.9,2,"Cleanliness 4.9, Accuracy 4.8, Communication 5.0, Location 4.8, Check-in 4.8, Value 4.8",0.00115,0.002,2,Entire,Diwakar,4.85,False,False
Entire rental unit hosted by Shiva Kumar,"Conditions, Telangana, India",Super stay luxury - Kondapur 02,5200,"6 guests, 2 bedrooms, 4 beds, 2 bathrooms","Kitchen, Fast wifi  63 Mbps, Dedicated workspace, Free parking on premises, Pets allowed, 32"" TV with cable/satellite TV, Washing machine, Security cameras on property and 13 more",5.0,5,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 5.0",0.0052,0.005,6,Entire,Shiva Kumar,5.0,False,False
Room in hotel hosted by Anish,"Hyderabad, Telangana, India",Luxury Boutique Hotel Room - Highly Affordable,2677,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","City skyline view, Wifi, Dedicated workspace, Free parking on premises, TV and 25 more",4.44,9,"Cleanliness 4.6, Accuracy 4.2, Communication 4.4, Location 3.8, Check-in 4.7, Value 4.6",0.002677,0.009,2,Single Room,Anish,4.38,False,False
Private room in bed and breakfast hosted by Mohammed Viquaruddin,"Hyderabad, Telangana, India",Private Single room,836,"2 guests, 1 bedroom, 1 bed, 1.5 shared bathrooms","Mountain view, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 26 more",4.62,26,"Cleanliness 4.7, Accuracy 4.6, Communication 4.7, Location 4.7, Check-in 4.8, Value 4.6",0.000836,0.026,2,Private,Mohammed Viquaruddin,4.68,False,False
Entire bungalow hosted by S  I ,"Hyderabad, Telangana, India",IHAN Manzil,1233,"7 guests, Studio, 5 beds, 3.5 bathrooms","Kitchen, Free parking on premises, Washing machine, Air conditioning, Patio or balcony and 15 more",4.62,13,"Cleanliness 4.3, Accuracy 4.5, Communication 4.8, Location 4.7, Check-in 4.9, Value 4.7",0.001233,0.013,7,Entire,S  I ,4.65,False,False
Room in aparthotel hosted by Raghu,"Hyderabad, Telangana, India",Urban Nest - New Luxury Rooms (202),1300,"2 guests, 1 bedroom, 1 queen bed, 1 private bathroom","City skyline view, Wifi, Dedicated workspace, Free parking on premises, 32"" HDTV with Amazon Prime Video, Netflix and 34 more",4.41,37,"Cleanliness 4.5, Accuracy 4.5, Communication 4.6, Location 4.2, Check-in 4.5, Value 4.5",0.0013,0.037,2,Single Room,Raghu,4.47,False,False
Entire home hosted by Vijaya Bhaskar,"Hyderabad, Telangana, India",4Bedroom centrally located spacious #Banjara hills,6000,"8 guests, 4 bedrooms, 4 beds, 4.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 36 more",4.87,55,"Cleanliness 4.6, Accuracy 4.8, Communication 4.9, Location 5.0, Check-in 4.9, Value 4.8",0.006,0.055,8,Entire,Vijaya Bhaskar,4.83,False,False
Private room in home hosted by Soumya,"Hyderabad, Telangana, India","Private room with Kitchen,High speed wifi with ups",1800,"2 guests, Studio, 1 single bed, 1 sofa bed, 1 private bathroom","Garden view, Kitchen, Wifi, Free parking on premises, TV and 32 more",4.67,42,"Cleanliness 4.6, Accuracy 4.8, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.6",0.0018,0.042,2,Private,Soumya,4.78,False,False
Entire rental unit hosted by Prakash Goud,"Hyderabad, Telangana, India",1 BH W/Semi Kitch @ Aaria Airport Resid Shamshabad,1685,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, Dedicated workspace, Free on-street parking, TV and 18 more",4.0,4,"Cleanliness 4.0, Accuracy 4.2, Communication 4.8, Location 4.2, Check-in 4.5, Value 3.8",0.001685,0.004,2,Entire,Prakash Goud,4.25,False,False
Private room in apartment hosted by Dheeraj,"Madapur, Telangana, India",Lovely Studio Flat with kitchen and balcony,2400,"2 guests, 1 bedroom, 2 beds, 1 bathroom","Kitchen, Fast wifi  79 Mbps, Dedicated workspace, Free parking on premises, HDTV with Fire TV and 38 more",4.14,7,"Cleanliness 4.7, Accuracy 4.6, Communication 4.7, Location 4.3, Check-in 4.7, Value 4.3",0.0024,0.007,2,Private,Dheeraj,4.55,False,False
Private room in home hosted by Tushar,"Secunderabad, Telangana, India",House is located in a peaceful society,1100,"3 guests, 1 bedroom, 2 beds, 1 private bathroom","Kitchen, Dedicated workspace, Free parking on premises, Pets allowed, Private patio or balcony and 16 more",4.25,4,"Cleanliness 3.5, Accuracy 4.5, Communication 5.0, Location 5.0, Check-in 4.2, Value 4.8",0.0011,0.004,3,Private,Tushar,4.5,False,False
Entire home hosted by Saathvik,"Secunderabad, Telangana, India",THE MAJESTIC SUITE | KING BEDS | FREE PARKING |,3375,"12 guests, 3 bedrooms, 3 beds, 3 bathrooms","Kitchen, Fast wifi  81 Mbps, Dedicated workspace, Free parking on premises, Pets allowed and 34 more",4.68,40,"Cleanliness 4.6, Accuracy 4.6, Communication 4.8, Location 4.5, Check-in 4.8, Value 4.7",0.003375,0.04,12,Entire,Saathvik,4.67,False,False
Entire serviced apartment hosted by Nehru Babu,"Kokapet, Tellangana, India",VOILA AT NEST - 2 BHK Service Apartment in Kokapet,3500,"4 guests, 2 bedrooms, 4 beds, 2 bathrooms","Lake access, Kitchen, Wifi, Free parking on premises, Pets allowed and 18 more",4.56,39,"Cleanliness 4.4, Accuracy 4.5, Communication 4.7, Location 4.3, Check-in 4.6, Value 4.4",0.0035,0.039,4,Entire,Nehru Babu,4.48,False,False
Private room in villa hosted by Bolagani,"Hyderabad, Telangana, India","Amerpet, @ Madhuranagar ACVilla Room,Hyderabad",1448,"2 guests, 1 bedroom, 1 bed, 1.5 bathrooms","Park view, Wifi, Dedicated workspace, Free parking on premises, TV with standard cable/satellite and 17 more",4.44,18,"Cleanliness 4.4, Accuracy 4.6, Communication 4.6, Location 4.6, Check-in 4.6, Value 4.5",0.001448,0.018,2,Private,Bolagani,4.55,False,False
Entire apartment hosted by Aman,"Hyderabad, India",Happy Homes- Bright Airy Private AC 2 BHK,2620,"6 guests, 2 bedrooms, 2 beds, 2 bathrooms","Wifi, Dedicated workspace, Free parking on premises, Paid washer  In building, Air conditioning and 22 more",4.49,37,"Cleanliness 4.5, Accuracy 4.6, Communication 4.5, Location 4.6, Check-in 4.7, Value 4.3",0.00262,0.037,6,Entire,Aman,4.53,True,False
Room in hotel hosted by Sriram,"Hyderabad, Telangana, India",hotel dsr inn,1080,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Wifi, Dedicated workspace, Free parking on premises, TV, Air conditioning and 9 more",4.7,35,"Cleanliness 4.7, Accuracy 4.7, Communication 4.8, Location 4.6, Check-in 4.8, Value 4.6",0.00108,0.035,2,Single Room,Sriram,4.7,False,False
Entire villa hosted by Rohith Raj,"Secunderabad, Telangana, India",Relaxing retreat! Beautiful 2 BHK Villa in Hyd!,4756,"6 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, TV and 25 more",4.8,10,"Cleanliness 4.8, Accuracy 5.0, Communication 4.9, Location 4.6, Check-in 5.0, Value 4.8",0.004756,0.01,6,Entire,Rohith Raj,4.85,False,False
Entire serviced apartment hosted by Raghu,"Hyderabad, Telangana, India",Urban Nest-3BH @ Financial District (2nd Floor),3380,"5 guests, 3 bedrooms, 1 queen bed, 3 bathrooms","Park view, Wifi, Dedicated workspace, Free parking on premises, Pets allowed and 36 more",4.78,105,"Cleanliness 4.8, Accuracy 4.8, Communication 4.8, Location 4.3, Check-in 4.8, Value 4.7",0.00338,0.105,5,Entire,Raghu,4.7,False,False
Entire serviced apartment hosted by Zain,"Bandalgud jagir, Telangana, India",Lovely 2 BHK apartment with all amenities,1800,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed, 32"" HDTV with Amazon Prime Video, Free washer  In unit, Security cameras on property and 17 more",4.91,11,"Cleanliness 4.5, Accuracy 4.9, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.9",0.0018,0.011,4,Entire,Zain,4.8,True,False
Entire rental unit hosted by Kumar,"Hyderabad, Telangana, India",2 Bed Room Apartment,2800,"4 guests, 2 bedrooms, 2 beds, 2 bathrooms","Kitchen, Wifi, Free parking on premises, Pets allowed, TV and 15 more",4.14,14,"Cleanliness 3.9, Accuracy 4.4, Communication 4.6, Location 4.7, Check-in 4.6, Value 4.1",0.0028,0.014,4,Entire,Kumar,4.38,False,False
Private room in rental unit hosted by Shivani,"Hyderabad, Telangana, India",Yarnville Room 2 with non-attached bath,1099,"2 guests, 1 bedroom, 1 queen bed, 1 private bathroom","Wifi, Dedicated workspace, Free on-street parking, Paid washer  In building, Patio or balcony and 24 more",4.7,1,"Cleanliness 4.7, Accuracy 4.7, Communication 4.8, Location 4.6, Check-in 4.8, Value 4.6",0.001099,0.001,2,Private,Shivani,4.7,True,False
